Timestamp,CPU Usage System Wide (%),Swap Memory Total (bytes),Swap Memory Used (bytes),Swap Memory Free (bytes),Swap Memory Percentage (%),Individual CPU Usage (%),Virtual Memory Total (bytes),Virtual Memory Available (bytes),Virtual Memory Percentage (%),Virtual Memory Used (bytes),Virtual Memory Free (bytes),Virtual Memory Active (bytes),Virtual Memory Buffer (bytes),Virtual Memory Cache (bytes),Virtual Memory Shared (bytes)
2024-03-28 15:13:10,5.0,2147479552,1048576,2146430976,0.0,"[0.0, 0.0, 78.7, 13.0]",8197910528,3980328960,51.4,3416887296,436940800,3935940608,550772736,3793309696,489164800
2024-03-28 15:13:10,5.0,2147479552,1048576,2146430976,0.0,"[14.3, 19.0, 5.3, 5.0]",8197910528,3984887808,51.4,3413078016,440295424,3924217856,550772736,3793764352,489164800
2024-03-28 15:13:10,2.5,2147479552,1048576,2146430976,0.0,"[0.0, 10.5, 0.0, 0.0]",8197910528,3984887808,51.4,3413078016,440295424,3924242432,550772736,3793764352,489164800
2024-03-28 15:13:11,12.2,2147479552,1048576,2146430976,0.0,"[5.3, 19.0, 21.1, 0.0]",8197910528,3997925376,51.2,3400069120,453128192,3923521536,550772736,3793940480,489164800
2024-03-28 15:13:11,2.6,2147479552,1048576,2146430976,0.0,"[0.0, 14.3, 0.0, 0.0]",8197910528,3997982720,51.2,3399983104,453128192,3923415040,550772736,3794026496,489164800
2024-03-28 15:13:11,2.6,2147479552,1048576,2146430976,0.0,"[5.0, 10.0, 0.0, 0.0]",8197910528,3998228480,51.2,3399720960,453128192,3923435520,550772736,3794288640,489164800
2024-03-28 15:13:11,2.6,2147479552,1048576,2146430976,0.0,"[0.0, 15.0, 0.0, 0.0]",8197910528,3997999104,51.2,3399950336,452898816,3923447808,550772736,3794288640,489164800
2024-03-28 15:13:11,2.6,2147479552,1048576,2146430976,0.0,"[0.0, 10.0, 0.0, 0.0]",8197910528,3997999104,51.2,3399950336,452898816,3923447808,550772736,3794288640,489164800
2024-03-28 15:13:12,15.0,2147479552,1048576,2146430976,0.0,"[5.3, 19.0, 10.5, 0.0]",8197910528,3998040064,51.2,3399946240,452640768,3923632128,550772736,3794550784,489164800
2024-03-28 15:13:12,5.0,2147479552,1048576,2146430976,0.0,"[0.0, 0.0, 5.0, 14.3]",8197910528,3998048256,51.2,3399946240,452640768,3923845120,550772736,3794550784,489164800
2024-03-28 15:13:12,7.9,2147479552,1048576,2146430976,0.0,"[0.0, 0.0, 0.0, 21.1]",8197910528,3998224384,51.2,3399770112,452640768,3923148800,550772736,3794726912,489164800
