Timestamp,CPU Usage System Wide (%),Swap Memory Total (bytes),Swap Memory Used (bytes),Swap Memory Free (bytes),Swap Memory Percentage (%),Individual CPU Usage (%),Virtual Memory Total (bytes),Virtual Memory Available (bytes),Virtual Memory Percentage (%),Virtual Memory Used (bytes),Virtual Memory Free (bytes),Virtual Memory Active (bytes),Virtual Memory Buffer (bytes),Virtual Memory Cache (bytes),Virtual Memory Shared (bytes)
2024-03-28 15:08:56,5.0,2147479552,1048576,2146430976,0.0,"[12.8, 74.5, 10.0, 8.7]",8197910528,3982962688,51.4,3414212608,439078912,3947696128,550494208,3794124800,489164800
2024-03-28 15:08:56,5.0,2147479552,1048576,2146430976,0.0,"[9.5, 5.0, 10.0, 0.0]",8197910528,3983003648,51.4,3414212608,439078912,3946950656,550494208,3794124800,489164800
2024-03-28 15:08:57,5.0,2147479552,1048576,2146430976,0.0,"[0.0, 10.0, 13.0, 0.0]",8197910528,3983233024,51.4,3413950464,439078912,3947032576,550494208,3794386944,489164800
2024-03-28 15:08:57,10.0,2147479552,1048576,2146430976,0.0,"[15.0, 10.0, 14.3, 5.0]",8197910528,3985674240,51.4,3411542016,441487360,3947872256,550494208,3794386944,489164800
2024-03-28 15:08:57,5.0,2147479552,1048576,2146430976,0.0,"[10.0, 0.0, 9.1, 5.0]",8197910528,3985649664,51.4,3411537920,441229312,3947892736,550494208,3794649088,489164800
2024-03-28 15:08:57,12.8,2147479552,1048576,2146430976,0.0,"[10.0, 23.8, 10.0, 5.0]",8197910528,3985420288,51.4,3411795968,440971264,3947933696,550494208,3794649088,489164800
2024-03-28 15:08:57,7.3,2147479552,1048576,2146430976,0.0,"[0.0, 10.0, 0.0, 10.0]",8197910528,3985596416,51.4,3411619840,440971264,3947933696,550494208,3794825216,489164800
2024-03-28 15:08:58,9.5,2147479552,1048576,2146430976,0.0,"[9.5, 10.0, 0.0, 9.1]",8197910528,3985596416,51.4,3411619840,440971264,3947933696,550494208,3794825216,489164800
2024-03-28 15:08:58,5.1,2147479552,1048576,2146430976,0.0,"[4.8, 15.0, 4.8, 14.3]",8197910528,3985514496,51.4,3411701760,440713216,3947696128,550494208,3795001344,489164800
2024-03-28 15:08:58,7.3,2147479552,1048576,2146430976,0.0,"[0.0, 10.0, 4.8, 10.0]",8197910528,3985514496,51.4,3411701760,440713216,3947520000,550494208,3795001344,489164800
2024-03-28 15:08:58,7.3,2147479552,1048576,2146430976,0.0,"[0.0, 14.3, 0.0, 13.6]",8197910528,3985682432,51.4,3411529728,440713216,3947646976,550494208,3795173376,489164800
2024-03-28 15:08:58,7.5,2147479552,1048576,2146430976,0.0,"[10.0, 10.0, 0.0, 0.0]",8197910528,3985915904,51.4,3411267584,440713216,3947692032,550494208,3795435520,489164800
2024-03-28 15:08:59,7.3,2147479552,1048576,2146430976,0.0,"[9.5, 10.0, 0.0, 0.0]",8197910528,3985915904,51.4,3411267584,440713216,3947692032,550494208,3795435520,489164800
